,mnist_index,choice,rt,confidence,threshold,noise,true label
0,0,7,3,0.6561865210533142,3,2.1,7
1,1,2,5,0.35790345072746277,3,2.1,2
2,2,1,3,0.6561865210533142,3,2.1,1
3,3,0,4,0.5638020038604736,3,2.1,0
4,4,4,3,0.6561865210533142,3,2.1,4
5,5,1,3,0.6561865210533142,3,2.1,1
6,6,8,6,0.5072156190872192,3,2.1,4
7,7,3,6,0.3413686156272888,3,2.1,9
8,8,9,7,0.3032817244529724,3,2.1,5
9,9,9,4,0.5638020038604736,3,2.1,9
10,10,0,3,0.6561865210533142,3,2.1,0
11,11,8,6,0.3413686156272888,3,2.1,6
12,12,9,5,0.5340139865875244,3,2.1,9
13,13,0,4,0.5638020038604736,3,2.1,0
14,14,1,4,0.5638020038604736,3,2.1,1
15,15,3,5,0.35790345072746277,3,2.1,5
16,16,9,3,0.6561865210533142,3,2.1,9
17,17,7,3,0.6561865210533142,3,2.1,7
18,18,3,6,0.3413686156272888,3,2.1,3
19,19,4,6,0.5072156190872192,3,2.1,4
20,20,9,6,0.5072156190872192,3,2.1,9
21,21,6,4,0.5638020038604736,3,2.1,6
22,22,1,5,0.5340139865875244,3,2.1,6
23,23,8,5,0.5340139865875244,3,2.1,5
24,24,4,9,0.29981499910354614,3,2.1,4
25,25,0,5,0.5340139865875244,3,2.1,0
26,26,7,4,0.5638020038604736,3,2.1,7
27,27,4,6,0.3413686156272888,3,2.1,4
28,28,0,6,0.5072156190872192,3,2.1,0
29,29,1,5,0.5340996384620667,3,2.1,1
30,30,7,3,0.6561865210533142,3,2.1,3
31,31,1,4,0.5638020038604736,3,2.1,1
32,32,3,4,0.5638020038604736,3,2.1,3
33,33,4,10,0.2700316309928894,3,2.1,4
34,34,7,3,0.6561865210533142,3,2.1,7
35,35,2,3,0.6561865210533142,3,2.1,2
36,36,7,5,0.35790345072746277,3,2.1,7
37,37,1,3,0.6561865210533142,3,2.1,1
38,38,2,5,0.5340139269828796,3,2.1,2
39,39,1,5,0.5340139865875244,3,2.1,1
40,40,8,8,0.3124946355819702,3,2.1,1
41,41,7,3,0.6561865210533142,3,2.1,7
42,42,4,7,0.3262941241264343,3,2.1,4
43,43,7,10,0.2881242036819458,3,2.1,2
44,44,3,3,0.6561865210533142,3,2.1,3
45,45,8,7,0.3032817244529724,3,2.1,5
46,46,3,5,0.35790345072746277,3,2.1,1
47,47,2,3,0.6561865210533142,3,2.1,2
48,48,4,3,0.6561865210533142,3,2.1,4
49,49,4,4,0.5638020038604736,3,2.1,4
50,50,6,6,0.6555912494659424,3,2.1,6
51,51,3,4,0.5638020038604736,3,2.1,3
52,52,5,4,0.5638020038604736,3,2.1,5
53,53,5,5,0.5340139269828796,3,2.1,5
54,54,6,3,0.6561865210533142,3,2.1,6
55,55,8,5,0.35790345072746277,3,2.1,0
56,56,4,3,0.6561865210533142,3,2.1,4
57,57,1,6,0.34141337871551514,3,2.1,1
58,58,9,3,0.6561865210533142,3,2.1,9
59,59,8,14,0.212327778339386,3,2.1,5
60,60,7,3,0.6561865210533142,3,2.1,7
61,61,8,3,0.6561865210533142,3,2.1,8
62,62,9,7,0.494357705116272,3,2.1,9
63,63,3,3,0.6561865210533142,3,2.1,3
64,64,7,3,0.6561865210533142,3,2.1,7
65,65,3,12,0.2516387701034546,3,2.1,4
66,66,6,11,0.26051902770996094,3,2.1,6
67,67,9,5,0.35790345072746277,3,2.1,4
68,68,3,3,0.6561865210533142,3,2.1,3
69,69,0,3,0.6561865210533142,3,2.1,0
70,70,7,3,0.6561865210533142,3,2.1,7
71,71,0,3,0.6561865210533142,3,2.1,0
72,72,2,6,0.5072156190872192,3,2.1,2
73,73,1,7,0.3262941241264343,3,2.1,9
74,74,1,4,0.5638020038604736,3,2.1,1
75,75,7,3,0.6561865210533142,3,2.1,7
76,76,3,3,0.6561865210533142,3,2.1,3
