,TrainingLoss,ValLoss,ValAcc
0,134620.74433289733,81955.0904,10.58
1,66116.71427412498,55021.4312,9.89
2,49846.38055658479,46062.5096,10.21
3,43955.82108331843,42204.9248,10.04
4,40890.738521176085,39707.108,10.2
5,38668.7034331337,37650.3472,9.89
6,36743.528015331125,35815.8968,10.45
7,34959.22312907258,34107.9672,10.02
8,33296.07737485719,32481.0328,10.02
9,31713.911630268685,30938.7864,10.05
10,30220.787106736407,29501.9904,9.82
11,28801.00105049932,28108.6352,10.31
12,27455.024211120763,26802.3208,10.19
13,26171.608898737908,25545.8208,10.37
14,24956.420694078213,24351.4008,9.73
15,23798.233087048982,23239.388,9.92
16,22697.432201316435,22152.596,10.08
17,21646.398245093806,21133.9936,9.98
18,20646.43016651684,20160.216,9.94
19,19693.355780858878,19233.7792,10.55
20,18790.265735793393,18349.288,9.61
21,17925.935149137786,17503.0192,10.02
22,17103.22052071326,16693.6376,10.44
23,16315.60202634908,15930.8608,9.75
24,15562.061866126547,15196.2408,10.18
25,14846.822945579619,14495.2376,10.09
26,14155.54936790165,13822.6696,10.66
27,13496.314602250532,13170.5248,9.95
28,12863.474580660974,12549.252,10.1
29,12255.70294643693,11960.6144,11.0
